OBJECTID,Vehicle Year,Vehicle Make,Vehicle Model,Vehicle Style,Vehicle Colour,Vehicle Value,Weekday,Recovered,Neighbourhood,Ward,Sector,Reported Date,Occurred Date,Year,Intersection,Division,Census Tract,Time of Day,Councillor,Reported Hour,Occurred Hour,x,y
2441,2014,HYUNDAI,ACCENT,Automobile,WHI,,Tuesday,Y,Orléans Village - Chateauneuf,Ward 2 - Orléans West-Innes,Sector 31,9/23/2020 5:00:00 AM,9/22/2020 5:00:00 AM,2020,"ARBOURWOOD DR E, RANCHWOOD WAY E",East,5050125.09,Afternoon,Laura Dudas,1300,1600,380582.9399,5034515.5618
2442,2015,,,Truck,BLK,,Wednesday,Y,Orléans Chapel Hill South,Ward 19 - Orléans South-Navan,Sector 31,9/23/2020 5:00:00 AM,9/23/2020 5:00:00 AM,2020,"AUBRAIS CR, LAMARCHE AVE",East,5050125.06,Morning,Catherine Kitts,600,600,381342.3912,5034149.8967
2443,2019,KUBOTA TRACTOR CORP.,,Other,ONG,,Wednesday,N,Merivale Gardens - Grenfell Glen - Pineglen - Country Place,Ward 9 - Knoxdale-Merivale,Sector 17,9/23/2020 5:00:00 AM,9/23/2020 5:00:00 AM,2020,"AMBERWOOD CRES, PRINCE OF WALES DR",West,5050130.01,Night,Sean Devine,1000,100,367435.9037,5020646.4835
2444,2019,LEXUS,,Suv,GRY,,Wednesday,N,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Ward 4 - Kanata North,Sector 13,9/24/2020 5:00:00 AM,9/23/2020 5:00:00 AM,2020,"GOLDRIDGE DR, HEMLO CRES S",West,5050160.03,Evening,Cathy Curry,800,1900,350022.2786,5019352.6072
2445,2014,JEEP (1989 AND AFTER),,Suv,BLK,,Friday,N,East Industrial,Ward 18 - Alta Vista,Sector 33,9/25/2020 5:00:00 AM,9/25/2020 5:00:00 AM,2020,"LANCASTER RD, WALKLEY RD",East,5050011.01,Evening,Marty Carr,200,2200,374908.3806,5028603.5324
2446,2011,KIA MOTORS CORPORATION,SORENTO,Suv,BLU,,Wednesday,Y,Hawthorne Meadows - Sheffield Glen,Ward 18 - Alta Vista,Sector 33,9/25/2020 5:00:00 AM,9/23/2020 5:00:00 AM,2020,"ST. LAURENT BLVD, ST. LAURENT BLVD SERVICE",East,5050010.00,Evening,Marty Carr,1600,1800,373498.924,5029148.5448
2447,2012,MAZDA,MAZDA 3,Automobile,BLU,,Thursday,Y,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Ward 19 - Orléans South-Navan,Sector 31,9/25/2020 5:00:00 AM,9/24/2020 5:00:00 AM,2020,"BOISDALE WALK, VALLIER WAY",East,5050171.09,Evening,Catherine Kitts,1100,2300,385704.6411,5034684.9696
2448,2016,"TOYOTA/ TOYOTA MOTOR CO., LTD.",4-RUNNER,Suv,WHI,,Friday,N,Riverside South - Leitrim,Ward 22 - Riverside South-Findlay Creek,Sector 35,9/26/2020 5:00:00 AM,9/25/2020 5:00:00 AM,2020,"RIVERSEDGE CRES S, TEWSLEY DR",East,5050126.05,Evening,Steve Desroches,1100,2200,367632.7876,5015459.9705
2449,2018,LEXUS,,Suv,WHI,,Friday,N,Riverside South - Leitrim,Ward 22 - Riverside South-Findlay Creek,Sector 35,9/26/2020 5:00:00 AM,9/25/2020 5:00:00 AM,2020,"BORBRIDGE AVE, EARNSCLIFFE GROVE, STARGAZER CRES",East,5050126.04,Evening,Steve Desroches,1200,2200,367964.1864,5014044.4646
2450,2015,CHEVROLET,,Automobile,WHI,,Sunday,Y,Orléans Central,Ward 2 - Orléans West-Innes,Sector 31,9/27/2020 5:00:00 AM,9/27/2020 5:00:00 AM,2020,"AXMINSTER CRT, AXMINSTER CRT",East,5050124.01,Night,Laura Dudas,100,100,380568.8521,5037272.9493
